profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_00930.mat,results_drum_profile_00930.csv,OK,200.000000,0.007999,2.052975,0.606992,0.033997,2.706966,run_00930
drum_profile_00931.mat,results_drum_profile_00931.csv,OK,200.000000,0.007001,2.034620,0.616990,0.034002,2.698615,run_00931
drum_profile_00932.mat,results_drum_profile_00932.csv,OK,200.000000,0.007998,1.988153,0.625993,0.034000,2.661142,run_00932
drum_profile_00933.mat,results_drum_profile_00933.csv,OK,200.000000,0.015000,1.983787,0.615989,0.035003,2.655778,run_00933
drum_profile_00934.mat,results_drum_profile_00934.csv,OK,200.000000,0.008000,2.042218,0.609995,0.034997,2.700209,run_00934
drum_profile_00935.mat,results_drum_profile_00935.csv,OK,200.000000,0.006873,2.036544,0.624218,0.033997,2.707762,run_00935
drum_profile_00936.mat,results_drum_profile_00936.csv,OK,200.000000,0.007999,2.054182,0.624993,0.034001,2.726195,run_00936
drum_profile_00937.mat,results_drum_profile_00937.csv,OK,200.000000,0.009006,1.873669,0.611067,0.033996,2.532735,run_00937
drum_profile_00938.mat,results_drum_profile_00938.csv,OK,200.000000,0.007997,1.999058,0.613992,0.033999,2.660048,run_00938
drum_profile_00939.mat,results_drum_profile_00939.csv,OK,200.000000,0.006926,1.865423,0.620003,0.034002,2.532217,run_00939
drum_profile_00940.mat,results_drum_profile_00940.csv,OK,200.000000,0.007004,2.025841,0.614993,0.034996,2.688831,run_00940
drum_profile_00941.mat,results_drum_profile_00941.csv,OK,200.000000,0.007104,1.879933,0.634994,0.034000,2.561927,run_00941
drum_profile_00942.mat,results_drum_profile_00942.csv,OK,200.000000,0.007003,2.074345,0.619157,0.035061,2.740565,run_00942
drum_profile_00943.mat,results_drum_profile_00943.csv,OK,200.000000,0.007998,1.980165,0.619046,0.035003,2.647213,run_00943
drum_profile_00944.mat,results_drum_profile_00944.csv,OK,200.000000,0.008000,1.971914,0.612043,0.033999,2.630956,run_00944
drum_profile_00945.mat,results_drum_profile_00945.csv,OK,200.000000,0.007999,2.043040,0.608995,0.034996,2.700030,run_00945
drum_profile_00946.mat,results_drum_profile_00946.csv,OK,200.000000,0.007000,1.871298,0.618991,0.034002,2.536292,run_00946
drum_profile_00947.mat,results_drum_profile_00947.csv,OK,200.000000,0.007021,1.982088,0.612469,0.035002,2.642582,run_00947
