profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_01880.mat,results_drum_profile_01880.csv,OK,200.000000,0.008002,2.188999,0.603995,0.035000,2.840996,run_01880
drum_profile_01881.mat,results_drum_profile_01881.csv,OK,200.000000,0.008002,2.214872,0.602994,0.034003,2.865872,run_01881
drum_profile_01882.mat,results_drum_profile_01882.csv,OK,200.000000,0.006999,2.229059,0.620995,0.035002,2.897055,run_01882
drum_profile_01883.mat,results_drum_profile_01883.csv,OK,200.000000,0.008001,2.068708,0.610992,0.035999,2.729701,run_01883
drum_profile_01884.mat,results_drum_profile_01884.csv,OK,200.000000,0.006998,2.184597,0.614992,0.034003,2.846591,run_01884
drum_profile_01885.mat,results_drum_profile_01885.csv,OK,200.000000,0.007998,2.264919,0.604994,0.034000,2.918911,run_01885
drum_profile_01886.mat,results_drum_profile_01886.csv,OK,200.000000,0.007998,2.132142,0.622995,0.035003,2.804135,run_01886
drum_profile_01887.mat,results_drum_profile_01887.csv,OK,200.000000,0.007999,2.160229,0.614995,0.034003,2.822224,run_01887
drum_profile_01888.mat,results_drum_profile_01888.csv,OK,200.000000,0.006997,2.218367,0.596996,0.034999,2.861360,run_01888
drum_profile_01889.mat,results_drum_profile_01889.csv,OK,200.000000,0.008000,2.227439,0.609997,0.033999,2.884434,run_01889
drum_profile_01890.mat,results_drum_profile_01890.csv,OK,200.000000,0.007997,2.194065,0.612994,0.034001,2.854057,run_01890
drum_profile_01891.mat,results_drum_profile_01891.csv,OK,200.000000,0.007001,2.045602,0.609997,0.034995,2.703598,run_01891
drum_profile_01892.mat,results_drum_profile_01892.csv,OK,200.000000,0.007999,2.066294,0.609998,0.033996,2.722285,run_01892
drum_profile_01893.mat,results_drum_profile_01893.csv,OK,200.000000,0.009003,2.229555,0.615998,0.034000,2.893553,run_01893
drum_profile_01894.mat,results_drum_profile_01894.csv,OK,200.000000,0.007995,2.057715,0.608994,0.034003,2.713708,run_01894
drum_profile_01895.mat,results_drum_profile_01895.csv,OK,200.000000,0.007997,2.126828,0.609994,0.034999,2.784817,run_01895
drum_profile_01896.mat,results_drum_profile_01896.csv,OK,200.000000,0.007000,2.053671,0.604995,0.035000,2.705665,run_01896
drum_profile_01897.mat,results_drum_profile_01897.csv,OK,200.000000,0.007999,2.194735,0.613995,0.035000,2.856730,run_01897
drum_profile_01898.mat,results_drum_profile_01898.csv,OK,200.000000,0.007999,2.063632,0.612994,0.033997,2.724622,run_01898
drum_profile_01899.mat,results_drum_profile_01899.csv,OK,200.000000,0.007997,2.195986,0.598995,0.035001,2.842979,run_01899
drum_profile_01900.mat,results_drum_profile_01900.csv,OK,200.000000,0.006998,2.190606,0.604995,0.034000,2.841596,run_01900
drum_profile_01901.mat,results_drum_profile_01901.csv,OK,200.000000,0.008001,2.073235,0.611993,0.035000,2.734228,run_01901
drum_profile_01902.mat,results_drum_profile_01902.csv,OK,200.000000,0.008001,2.225226,0.620993,0.035000,2.894216,run_01902
drum_profile_01903.mat,results_drum_profile_01903.csv,OK,200.000000,0.008003,2.181447,0.614996,0.033999,2.843445,run_01903
